"string";"# total labels";"total labels";"# unique labels";"unique labels"
"HMPAO SPECT images of AD patients with simila Cr SADs: comparison using SPM. Left:3-way-glass brain view of area
of significant hypo perfusion present in CS AD group compared with group with delusions but no history of autobiographic delusions.
Right: Sagittal,coronal,and transversesectionsof normalized registered MRI brain image with z scores from statistically significant
cluster for comparison between CSAD group andgroup with delusions but no history of autobiographic delusions superimposed on them. Positionsof sliceswere â28mm (sagittal),+52 mm (coronal),and +10 mm (transverse)with referenceto stereotactic coordinates of Talairachand Toumoux ( 16). Image in bottom right corner is +52-mm (coronal) slice with approximate position of
Brodmann'sareas indicated.";"39";"brain, brain, group, group, group, and, and, approximate, area, between, bottom, comparison, comparison, cluster, image, image, for, from, glass, glass, history, history, view, left, no, no, present, right, right, significant, significant, slice, with, with, with, with, with, with, with";"23";"brain, group, and, approximate, area, between, bottom, comparison, cluster, image, for, from, glass, glass, history, view, left, no, present, right, significant, slice, with"
"Thioflavine-S-positive dense-core plaques (blue) occlude neuronal processes imaged in vivo (red). 
A, B: Two examples of a process passing very close and avoiding a dense-core plaque. 
C: A process that appears to be deflected by a senile plaque.
D: A more distal example of a neuronal process bending around a plaque. 
Scale bar = 25 µm.";"21";"and, be, process, process, process, blue, scale, core, core, dense, dense, distal, example, plaque, plaque, plaque, positive, red, to, two, in vivo";"15";"and, be, process, blue, scale, core, dense, distal, example, plaque, positive, red, to, two, in vivo"
"Lysosomes in early developing midgut epithelial cells of the fly Calliphora erythrocephala. The dark ("electrondense" ) inclusions are lysosomes. In this particular case they are mainly involved in the digestion of cell organelles (autophagy). Microvilli are bordering the gut lumen. They are still few and irregular. The cytoplasm contains mitochondria, endoplasmic reticulum and glycogen and in the basal area the nucleus. Electron micrograph of a ca 70 nm section of midgut from the pupal stage, fixed in a glutaraldehyde/OsO4 mixture (Hirsch and Fedorko)";"41";"endoplasmic reticulum, nucleus, cytoplasm, mixture, and, and, and, and, cell, are, are, are, are, area, autophagy, basal, digestion, case, cell, section, stage, early, electron, epithelial, few, from, section, glycogen, irregular, lumen, lumen, stage, midgut, midgut, section, autophagy, endoplasmic reticulum, cell, nucleus, cytoplasm, digestion";"34";"endoplasmic reticulum, nucleus, cytoplasm, mixture, and, cell, are, area, autophagy, basal, digestion, case, cell, section, stage, early, electron, epithelial, few, from, section, glycogen, irregular, lumen, lumen, stage, midgut, section, autophagy, endoplasmic reticulum, cell, nucleus, cytoplasm, digestion"
"Representative regions of interest in frontal lobe white matter (from left to right) at 15 mm above, 10 mm above, 5 mm above,

0 mm below, and 5 mm below the anterior commissureâposterior commissure (AC-PC) plane. Also represented are the regions of interest

at the genu and splenium of the corpus callosum (indicated on the slice 10 mm above the AC-PC plane) and the region of interest in

the temporal lobe white matter (far right). Top row=B0 images. Bottom row=corresponding fractional anisotropy images.";"48";"above, above, above, above, temporal lobe, and, and, and, anisotropy, anterior, anterior commissure, are, frontal lobe, at, at, below, below, corpus callosum, bottom, white matter, white matter, commissure, commissure, region, white, white, from, interest, interest, interest, left, lobe, lobe, plane, plane, posterior, posterior commissure, right, right, row, row, slice, splenium of the corpus callosum, temporal, to, top, white, white";"31";"above, temporal lobe, and, anisotropy, anterior, anterior commissure, are, frontal lobe, at, below, corpus callosum, bottom, white matter, commissure, region, white, from, interest, left, lobe, plane, posterior, posterior commissure, right, row, slice, splenium of the corpus callosum, temporal, to, top, white"
"Double immunofluorescent-stained section by Ab and ApoE antibodies. a: ordinary fluorescent photomicrograph. Ab immunoreactivity is
represented by green of FITC. Various types of SPs were indicated by Ab immunoreactivity. One typical plaque arrow.and some small plaques
arrowheads.were shown. b: ApoE immunoreactivity is represented by red of rhodamine. One diffuse deposit of ApoE arrow.is indicated in the same
region. c: LSM overlay image of the same SP recomposed by every 1 mm planes. Green and red represents Ab and ApoE immunoreactivity, respectively. Yellow represents coexistence of Ab and ApoE immunoreactivity. Several Ab-deposits were included in one ApoE-immunoreactive diffuse deposit arrow. A typical plaque was mainly represented by Ab arrowhead, but ApoE was recognized only in its core region. Barss50 mm.
Fig. 3. a: LSM images of Ab and ApoE deposits. Distribution of ApoE deposit red.was larger than that of Ab deposit. In this plaque Ab always
coexisted with ApoE yellow.. Green represents Ab immunoreactivity, but was not recognized here. b: serial planes at intervals of 2 mm. ApoE
distributed widely and diffusely around Ab. Barss25 mm.";"48";"always, deposit, deposit, deposit, deposit, and, and, and, and, and, and, and, at, region, region, core, section, image, diffuse, diffuse, distribution, double, double, double, every, fig, section, green, green, green, one, one, one, plaque, plaque, plaque, red, red, red, rhodamine, same, same, section, small, some, with, yellow, yellow";"27";"always, deposit, and, at, region, core, section, image, diffuse, distribution, double, double, double, every, fig, section, green, one, plaque, red, rhodamine, same, section, small, some, with, yellow"
"SsgB-GFP (genomic integration)";"1";"integration";"1";"integration"
"Three-dimensional white matter hyperintensity (WMH) frequency maps for each cognitive group displayed in two separate orientations for enhanced visualization. (A) Cognitively normal older individuals (CN); (C) Alzheimer disease (AD). Orange area indicates voxels containing WMH with a frequency of 10% or higher.";"18";"disease, group, area, orange, white matter, cognitive, each, white, for, for, normal, or, orange, separate, three, two, white, with";"17";"disease, group, area, orange, white matter, cognitive, each, white, for, normal, or, orange, separate, three, two, white, with"
"Beta Secretase";"0";"";"0";""
"Pojection of the 50S model";"2";"model, model";"2";"model, model"
"Axial blood flow images in a normal elderly subject (second row) and 4 patients with severe Alzheimerâs disease (bottom four rows). The anatomical images from the normal subject are shown on top for spatial reference.";"23";"disease, and, are, axial, blood, reference, bottom, elderly, flow, for, four, from, subject, subject, normal, normal, row, second, second, second, severe, top, with";"21";"disease, and, are, axial, blood, reference, bottom, elderly, flow, for, four, from, subject, normal, row, second, second, second, severe, top, with"
"In vivo imaging of Alzheimer disease. (a,b) Imaging of amyloid-B plaques in AD model mice using newly developed probes by near-infrared fluorescence imaging(a) and fluorine MRI (b)";"9";"disease, and, model, fluorescence, fluorine, in vivo imaging, model, near, in vivo";"9";"disease, and, model, fluorescence, fluorine, in vivo imaging, model, near, in vivo"
"Tau";"1";"tau";"1";"tau"
"Statistical parametric maps (P , 0:01 ncorrected) showing fMRI activations for the subtraction contrast (Calculating â Counting) in elderly
healthy controls (top) and AD patients (middle). Each contrast is shown on left and right medial views, and right and left lateral views. The bottom of the figure shows prefrontal and parietal regions, where activity was significantly higher in controls than in AD patients (P , 0:01 uncorrected). Axial slices are in neurological convention (left is left). Maps are rendered on T1-weighted templates provided with SPM2. Key structures are labeled with the following abbreviations: SMA, supplementary motor area; IPC, inferior parietal cortex; IFG, inferior frontal gyrus; DLPFC, dorso-lateral
prefrontal cortex.";"41";"activity, and, and, and, and, and, inferior frontal gyrus, are, are, are, area, axial, bottom, contrast, contrast, convention, each, elderly, for, frontal gyrus, inferior, inferior, key, labeled, lateral, lateral, left, left, left, left, medial, middle, motor, parietal, parietal, right, right, subtraction, top, with, with";"26";"activity, and, inferior frontal gyrus, are, area, axial, bottom, contrast, convention, each, elderly, for, frontal gyrus, inferior, key, labeled, lateral, left, medial, middle, motor, parietal, right, subtraction, top, with"
